order_id,checkout_ts,store_id,category,zone_id,origin_lat,origin_lon,dest_lat,dest_lon,distance_km,store_notify_ts,courier_notify_ts,courier_arrive_pos_ts,pickup_ts,deliver_ts
ord_008796,2026-07-13 18:28:00-03:00,store_009,grocery,zone_4,-34.60496140621044,-58.41486417923656,-34.63526825666809,-58.421958236485054,3.432,2026-07-13 18:31:56.658409836-03:00,2026-07-13 18:33:41.825196306-03:00,2026-07-13 18:44:58.901284404-03:00,2026-07-13 18:45:38.471182764-03:00,2026-07-13 19:07:30.534739506-03:00
ord_003561,2026-07-13 18:53:00-03:00,store_019,food,zone_5,-34.58683356008779,-58.35495330360857,-34.59239423222169,-58.40903461113744,4.989,2026-07-13 18:57:42.093088410-03:00,2026-07-13 18:58:50.785193886-03:00,2026-07-13 19:14:04.023785922-03:00,2026-07-13 19:30:54.310400856-03:00,2026-07-13 19:55:39.337704828-03:00
ord_001322,2026-07-13 19:09:00-03:00,store_007,pharmacy,zone_7,-34.5713935694723,-58.41995596006732,-34.58084939161714,-58.350543261014074,6.441,2026-07-13 19:12:02.554143330-03:00,2026-07-13 19:12:51.880210260-03:00,2026-07-13 19:40:57.710477898-03:00,2026-07-13 19:42:13.215420360-03:00,2026-07-13 20:20:03.700037538-03:00
ord_007333,2026-07-13 20:21:00-03:00,store_065,food,zone_3,-34.594642059934195,-58.44529316379805,-34.60091066562354,-58.42517656376414,1.969,2026-07-13 20:26:12.964001442-03:00,2026-07-13 20:28:49.892468526-03:00,2026-07-13 20:41:39.884224512-03:00,2026-07-13 21:04:56.345778714-03:00,2026-07-13 21:19:50.984492220-03:00
ord_010826,2026-07-13 22:43:00-03:00,store_056,food,zone_5,-34.60410842244617,-58.355387302278615,-34.59311879351116,-58.47147113279114,10.695,2026-07-13 22:47:22.533646578-03:00,2026-07-13 22:49:10.758854016-03:00,2026-07-13 23:16:52.103237268-03:00,2026-07-13 23:18:32.005231782-03:00,2026-07-14 00:03:51.665638698-03:00
ord_001486,2026-07-14 00:43:00-03:00,store_054,food,zone_7,-34.57948346213736,-58.403180986107415,-34.58799459717802,-58.37437047516323,2.802,2026-07-14 00:48:28.903982292-03:00,2026-07-14 00:50:41.578837608-03:00,2026-07-14 01:05:09.816459672-03:00,2026-07-14 01:06:39.404421120-03:00,2026-07-14 01:22:58.729846704-03:00
ord_007002,2026-07-14 00:47:00-03:00,store_001,pharmacy,zone_4,-34.60611215602479,-58.42716970801279,-34.636354248222624,-58.42149615931673,3.403,2026-07-14 00:49:14.162986926-03:00,2026-07-14 00:50:31.444781466-03:00,2026-07-14 01:06:42.514050768-03:00,2026-07-14 01:07:40.581247440-03:00,2026-07-14 01:27:44.591651904-03:00
ord_008236,2026-07-14 01:12:00-03:00,store_060,food,zone_7,-34.583159703820954,-58.41673441699104,-34.60939366089279,-58.43013888473372,3.165,2026-07-14 01:14:20.819088600-03:00,2026-07-14 01:16:01.704451338-03:00,2026-07-14 01:24:01.712184792-03:00,2026-07-14 01:53:09.071258957-03:00,2026-07-14 02:09:39.118345487-03:00
ord_004289,2026-07-14 01:28:00-03:00,store_003,food,zone_6,-34.58026319709406,-58.458293520412,-34.561581406189966,-58.37351217531093,8.036,2026-07-14 01:32:26.444168304-03:00,2026-07-14 01:35:55.106103774-03:00,2026-07-14 01:56:27.762831684-03:00,2026-07-14 02:05:09.353772396-03:00,2026-07-14 02:39:43.591532274-03:00
ord_003431,2026-07-14 01:40:00-03:00,store_067,food,zone_1,-34.619604990193736,-58.4123125876787,-34.558681923245594,-58.40465015477822,6.811,2026-07-14 01:43:10.896887328-03:00,2026-07-14 01:45:20.342832288-03:00,2026-07-14 02:06:14.358346518-03:00,2026-07-14 02:10:16.916123388-03:00,2026-07-14 02:39:21.640547508-03:00
ord_007076,2026-07-14 01:57:00-03:00,store_039,food,zone_7,-34.583018600531744,-58.39844985070868,-34.63279919887482,-58.39728079300766,5.536,2026-07-14 02:00:49.298291676-03:00,2026-07-14 02:02:02.929533912-03:00,2026-07-14 02:24:34.541109504-03:00,2026-07-14 02:30:41.128483860-03:00,2026-07-14 02:55:03.045322914-03:00
ord_003410,2026-07-14 03:08:00-03:00,store_042,grocery,zone_6,-34.57997348979977,-58.46902223825181,-34.62739302282374,-58.435223640320814,6.113,2026-07-14 03:10:50.211860922-03:00,2026-07-14 03:13:14.102997312-03:00,2026-07-14 03:31:35.490109740-03:00,2026-07-14 03:33:23.910023742-03:00,2026-07-14 03:58:05.506991712-03:00
ord_003438,2026-07-14 03:17:00-03:00,store_051,food,zone_2,-34.6492637730249,-58.359734384611016,-34.624389767752035,-58.475195765786445,10.919,2026-07-14 03:23:02.234110518-03:00,2026-07-14 03:25:38.911619964-03:00,2026-07-14 03:49:24.257606076-03:00,2026-07-14 03:51:26.419081920-03:00,2026-07-14 04:36:52.070028450-03:00
ord_002381,2026-07-14 04:28:00-03:00,store_012,food,zone_4,-34.58561348799193,-58.421999684175375,-34.63011016214487,-58.36714742107914,7.049,2026-07-14 04:28:30-03:00,2026-07-14 04:29:09.648930120-03:00,2026-07-14 04:49:50.382936426-03:00,2026-07-14 05:00:52.075719348-03:00,2026-07-14 05:26:46.483581654-03:00
ord_006223,2026-07-14 04:43:00-03:00,store_039,food,zone_7,-34.583018600531744,-58.39844985070868,-34.59578257617071,-58.41407785589176,2.015,2026-07-14 04:47:12.281982714-03:00,2026-07-14 04:49:10.004982606-03:00,2026-07-14 04:59:11.389069740-03:00,2026-07-14 05:10:03.867306660-03:00,2026-07-14 05:24:01.731193416-03:00
ord_010658,2026-07-14 05:27:00-03:00,store_054,food,zone_7,-34.57948346213736,-58.403180986107415,-34.616626380011546,-58.4779747808778,7.995,2026-07-14 05:30:19.453295502-03:00,2026-07-14 05:32:21.000553944-03:00,2026-07-14 05:55:44.511368544-03:00,2026-07-14 05:57:24.120599988-03:00,2026-07-14 06:26:03.108228798-03:00
ord_010225,2026-07-14 06:57:00-03:00,store_074,food,zone_0,-34.64416972583109,-58.46588515365239,-34.57820830058365,-58.4136719186888,8.754,2026-07-14 06:59:27.841831578-03:00,2026-07-14 07:03:18.870096714-03:00,2026-07-14 07:29:57.208728432-03:00,2026-07-14 07:31:12.334639859-03:00,2026-07-14 08:04:26.035620533-03:00
ord_008031,2026-07-14 07:43:00-03:00,store_076,food,zone_0,-34.62064062422333,-58.443439608100924,-34.60186916942323,-58.405252955125725,4.071,2026-07-14 07:45:55.588942734-03:00,2026-07-14 07:48:17.076846570-03:00,2026-07-14 08:09:48.583028466-03:00,2026-07-14 08:16:14.555842392-03:00,2026-07-14 08:36:11.918841516-03:00
ord_009416,2026-07-14 11:07:00-03:00,store_022,grocery,zone_6,-34.55293019756051,-58.44543690501026,-34.63316657597223,-58.37451329614861,11.034,2026-07-14 11:09:03.659903724-03:00,2026-07-14 11:10:25.747691442-03:00,2026-07-14 11:38:06.253569600-03:00,2026-07-14 11:41:02.912941242-03:00,2026-07-14 12:23:15.443329260-03:00
ord_009375,2026-07-14 12:05:00-03:00,store_060,food,zone_7,-34.583159703820954,-58.41673441699104,-34.586166758221246,-58.351624164802246,5.97,2026-07-14 12:10:47.074669302-03:00,2026-07-14 12:12:23.572453530-03:00,2026-07-14 12:33:58.611028392-03:00,2026-07-14 12:49:05.981726856-03:00,2026-07-14 13:23:13.451193924-03:00
ord_011286,2026-07-14 13:20:00-03:00,store_031,food,zone_6,-34.553249026756575,-58.453692762576615,-34.57925071583032,-58.351055052470365,9.833,2026-07-14 13:21:53.010373824-03:00,2026-07-14 13:22:05.010373824-03:00,2026-07-14 13:57:32.883580890-03:00,2026-07-14 13:59:25.034654202-03:00,2026-07-14 14:40:40.257507804-03:00
ord_004370,2026-07-14 14:24:00-03:00,store_067,food,zone_1,-34.619604990193736,-58.4123125876787,-34.6236282662794,-58.360785609881766,4.736,2026-07-14 14:27:44.664793626-03:00,2026-07-14 14:30:08.778527370-03:00,2026-07-14 14:48:28.722361962-03:00,2026-07-14 14:55:04.991200482-03:00,2026-07-14 15:24:48.848691672-03:00
ord_006101,2026-07-14 15:31:00-03:00,store_039,grocery,zone_7,-34.583018600531744,-58.39844985070868,-34.642009462779406,-58.44344512674075,7.745,2026-07-14 15:33:32.217433056-03:00,2026-07-14 15:33:44.217433056-03:00,2026-07-14 15:56:08.660223138-03:00,2026-07-14 15:56:26.660223138-03:00,2026-07-14 16:31:44.696696556-03:00
ord_009334,2026-07-14 16:23:00-03:00,store_063,food,zone_7,-34.573500114258394,-58.40567535319111,-34.61112846782565,-58.372921462411,5.147,2026-07-14 16:25:30.431223360-03:00,2026-07-14 16:27:06.433706796-03:00,2026-07-14 16:43:24.144556398-03:00,2026-07-14 16:44:15.324288264-03:00,2026-07-14 17:05:52.870110702-03:00
ord_011061,2026-07-14 16:27:00-03:00,store_042,pharmacy,zone_6,-34.57997348979977,-58.46902223825181,-34.57489345838124,-58.38329163394206,7.869,2026-07-14 16:29:27.624643974-03:00,2026-07-14 16:32:44.062296642-03:00,2026-07-14 16:57:16.690830558-03:00,2026-07-14 16:58:56.901494556-03:00,2026-07-14 17:32:27.118981212-03:00
ord_001295,2026-07-14 19:12:00-03:00,store_027,food,zone_0,-34.645619623421275,-58.44460859696013,-34.64709154343072,-58.40644988748669,3.494,2026-07-14 19:14:52.242192138-03:00,2026-07-14 19:17:15.463980804-03:00,2026-07-14 19:35:20.048043288-03:00,2026-07-14 19:44:31.329570072-03:00,2026-07-14 20:14:08.412075480-03:00
ord_004193,2026-07-14 19:15:00-03:00,store_005,food,zone_6,-34.55243776483632,-58.46829377809917,-34.58914376131015,-58.35382488435488,11.248,2026-07-14 19:19:15.627456714-03:00,2026-07-14 19:20:57.437990178-03:00,2026-07-14 19:58:13.319343222-03:00,2026-07-14 20:20:51.550299900-03:00,2026-07-14 21:16:44.923609932-03:00
ord_004698,2026-07-14 20:12:00-03:00,store_062,pharmacy,zone_5,-34.59347638935188,-58.358082560853255,-34.61381447836169,-58.4688897743482,10.391,2026-07-14 20:15:31.345995738-03:00,2026-07-14 20:18:37.508875062-03:00,2026-07-14 20:54:54.228845040-03:00,2026-07-14 20:56:10.534813553-03:00,2026-07-14 21:52:38.536233971-03:00
ord_000829,2026-07-14 20:32:00-03:00,store_023,food,zone_8,-34.56068788786778,-58.354007070944796,-34.61613624891319,-58.45499003662955,11.112,2026-07-14 20:34:52.421805456-03:00,2026-07-14 20:35:04.421805456-03:00,2026-07-14 21:19:47.165361156-03:00,2026-07-14 21:21:14.049290160-03:00,2026-07-14 22:19:15.649274358-03:00
ord_010945,2026-07-14 20:45:00-03:00,store_015,food,zone_1,-34.62727612782152,-58.398063262894546,-34.56010653500494,-58.416380960875046,7.655,2026-07-14 20:47:41.796870318-03:00,2026-07-14 20:49:37.163211870-03:00,2026-07-14 21:18:17.005318110-03:00,2026-07-14 21:19:45.441836076-03:00,2026-07-14 22:02:50.532250200-03:00
ord_000280,2026-07-14 22:50:00-03:00,store_049,food,zone_1,-34.63602475163907,-58.403606205616896,-34.59510946597202,-58.45020207434863,6.235,2026-07-14 22:51:52.160242938-03:00,2026-07-14 22:55:26.649837876-03:00,2026-07-14 23:14:04.408780428-03:00,2026-07-14 23:15:34.039251366-03:00,2026-07-14 23:36:21.106999950-03:00
ord_010640,2026-07-15 03:12:00-03:00,store_021,food,zone_5,-34.61454740318701,-58.389038072604606,-34.61963070634315,-58.44079327977746,4.77,2026-07-15 03:17:21.854437956-03:00,2026-07-15 03:21:07.310278566-03:00,2026-07-15 03:39:30.622117512-03:00,2026-07-15 03:40:32.300840460-03:00,2026-07-15 04:05:46.671334560-03:00
ord_001866,2026-07-15 03:36:00-03:00,store_057,grocery,zone_4,-34.593125880404706,-58.41730055319742,-34.61742381696048,-58.364943290584414,5.501,2026-07-15 03:37:04.435435314-03:00,2026-07-15 03:39:27.532590312-03:00,2026-07-15 04:00:02.990970402-03:00,2026-07-15 04:01:25.594787190-03:00,2026-07-15 04:29:06.502534440-03:00
ord_000500,2026-07-15 04:16:00-03:00,store_049,food,zone_1,-34.63602475163907,-58.403606205616896,-34.58571744151288,-58.44267716240762,6.639,2026-07-15 04:17:39.905028288-03:00,2026-07-15 04:19:44.758700598-03:00,2026-07-15 04:39:27.570727692-03:00,2026-07-15 04:41:52.047298218-03:00,2026-07-15 05:07:15.639018030-03:00
ord_007469,2026-07-15 04:47:00-03:00,store_011,pharmacy,zone_8,-34.557323501115135,-58.389478351239894,-34.59795119018323,-58.466251816889454,8.355,2026-07-15 04:51:52.768383738-03:00,2026-07-15 04:54:44.349610920-03:00,2026-07-15 05:21:26.539051356-03:00,2026-07-15 05:22:58.237717080-03:00,2026-07-15 05:56:18.287758398-03:00
ord_010468,2026-07-15 07:39:00-03:00,store_007,food,zone_7,-34.5713935694723,-58.41995596006732,-34.608490222125454,-58.44624909669605,4.776,2026-07-15 07:42:41.453839590-03:00,2026-07-15 07:44:23.927483184-03:00,2026-07-15 08:03:42.543073434-03:00,2026-07-15 08:14:49.203371310-03:00,2026-07-15 08:33:26.311851720-03:00
ord_009471,2026-07-15 10:50:00-03:00,store_064,grocery,zone_4,-34.58652816799994,-58.418446377862594,-34.574492575431734,-58.456721086767445,3.751,2026-07-15 10:51:49.401535932-03:00,2026-07-15 10:52:58.235498082-03:00,2026-07-15 11:09:11.793844398-03:00,2026-07-15 11:12:32.024066748-03:00,2026-07-15 11:23:59.843107452-03:00
ord_002452,2026-07-15 10:56:00-03:00,store_072,food,zone_6,-34.56465969267318,-58.46176761843018,-34.63195234781804,-58.35074813427701,12.0,2026-07-15 10:58:30.435708210-03:00,2026-07-15 10:59:23.668322646-03:00,2026-07-15 11:24:09.895635024-03:00,2026-07-15 11:26:20.455701048-03:00,2026-07-15 12:14:51.348378822-03:00
ord_003389,2026-07-15 11:24:00-03:00,store_048,food,zone_6,-34.5817504496025,-58.46655761419606,-34.56649752297943,-58.401197954156515,6.22,2026-07-15 11:28:18.766625958-03:00,2026-07-15 11:31:07.582545366-03:00,2026-07-15 11:42:43.570127370-03:00,2026-07-15 11:50:16.880850174-03:00,2026-07-15 12:22:31.456646100-03:00
ord_000837,2026-07-15 11:55:00-03:00,store_070,grocery,zone_2,-34.628541532718046,-58.372582049854735,-34.59105511639125,-58.39543055975928,4.663,2026-07-15 11:58:18.578781282-03:00,2026-07-15 12:00:17.168900070-03:00,2026-07-15 12:19:32.829657042-03:00,2026-07-15 12:21:30.905437740-03:00,2026-07-15 12:39:19.409395338-03:00
ord_001510,2026-07-15 12:24:00-03:00,store_044,grocery,zone_6,-34.566774019860475,-58.47459015739795,-34.56442334121445,-58.41314270634497,5.633,2026-07-15 12:29:19.493319024-03:00,2026-07-15 12:29:31.493319024-03:00,2026-07-15 12:53:14.884011282-03:00,2026-07-15 12:53:54.668729304-03:00,2026-07-15 13:25:07.793511588-03:00
ord_004678,2026-07-15 14:21:00-03:00,store_028,grocery,zone_0,-34.63457105079324,-58.46746917492004,-34.60088304035009,-58.37199950493506,9.506,2026-07-15 14:24:20.088527802-03:00,2026-07-15 14:26:08.258784426-03:00,2026-07-15 14:54:52.962022746-03:00,2026-07-15 14:55:30.500025666-03:00,2026-07-15 15:39:21.606988698-03:00
ord_008033,2026-07-15 15:04:00-03:00,store_022,grocery,zone_6,-34.55293019756051,-58.44543690501026,-34.61043591863908,-58.4512112946249,6.416,2026-07-15 15:08:22.185725436-03:00,2026-07-15 15:10:42.828558936-03:00,2026-07-15 15:33:11.609795724-03:00,2026-07-15 15:34:50.034811686-03:00,2026-07-15 15:59:51.054229122-03:00
ord_010696,2026-07-15 18:51:00-03:00,store_048,food,zone_6,-34.5817504496025,-58.46655761419606,-34.63094518707329,-58.3945801699113,8.563,2026-07-15 18:55:28.316434740-03:00,2026-07-15 18:58:15.976782054-03:00,2026-07-15 19:20:35.572215450-03:00,2026-07-15 19:25:47.270195112-03:00,2026-07-15 20:02:57.157332024-03:00
ord_006615,2026-07-15 18:51:00-03:00,store_069,grocery,zone_3,-34.60632826107676,-58.477190429615554,-34.61549678503944,-58.447964595810696,2.862,2026-07-15 18:55:38.549724864-03:00,2026-07-15 18:58:26.279253414-03:00,2026-07-15 19:12:00.017486172-03:00,2026-07-15 19:13:32.783110656-03:00,2026-07-15 19:23:54.014957676-03:00
ord_000782,2026-07-15 18:59:00-03:00,store_076,food,zone_0,-34.62064062422333,-58.443439608100924,-34.57192127980673,-58.413622564539764,6.066,2026-07-15 18:59:42.160369266-03:00,2026-07-15 19:01:52.739611062-03:00,2026-07-15 19:24:10.518841272-03:00,2026-07-15 19:25:52.674021234-03:00,2026-07-15 19:50:01.208112600-03:00
ord_010308,2026-07-15 19:24:00-03:00,store_023,grocery,zone_8,-34.56068788786778,-58.354007070944796,-34.6143371367994,-58.37540881308162,6.279,2026-07-15 19:27:03.331682538-03:00,2026-07-15 19:28:54.725597376-03:00,2026-07-15 19:57:07.239527064-03:00,2026-07-15 19:58:34.544413320-03:00,2026-07-15 20:28:38.030234478-03:00
ord_004071,2026-07-15 20:10:00-03:00,store_068,grocery,zone_1,-34.646918216543206,-58.42294151016034,-34.56087320671751,-58.4374491343433,9.659,2026-07-15 20:15:04.774764768-03:00,2026-07-15 20:17:36.187864968-03:00,2026-07-15 20:57:57.708311262-03:00,2026-07-15 21:00:07.115833578-03:00,2026-07-15 21:52:06.099867768-03:00
ord_011417,2026-07-15 20:25:00-03:00,store_036,food,zone_2,-34.63700784946645,-58.38139246112142,-34.582483496737694,-58.47731631312636,10.669,2026-07-15 20:26:26.842746528-03:00,2026-07-15 20:27:36.764178384-03:00,2026-07-15 21:04:01.462948182-03:00,2026-07-15 21:05:17.652362886-03:00,2026-07-15 22:02:27.538198650-03:00
ord_007127,2026-07-15 20:31:00-03:00,store_053,food,zone_4,-34.583514914340796,-58.434906925410466,-34.61609063979878,-58.45903113122458,4.242,2026-07-15 20:35:18.071219160-03:00,2026-07-15 20:39:05.788664856-03:00,2026-07-15 21:01:24.668905914-03:00,2026-07-15 21:03:16.012329084-03:00,2026-07-15 21:34:00.024375300-03:00
ord_007256,2026-07-15 21:11:00-03:00,store_067,grocery,zone_1,-34.619604990193736,-58.4123125876787,-34.58773425927989,-58.35049008338633,6.676,2026-07-15 21:13:35.202082482-03:00,2026-07-15 21:15:57.556686798-03:00,2026-07-15 21:43:51.334613622-03:00,2026-07-15 21:44:09.334613622-03:00,2026-07-15 22:18:35.298590610-03:00
ord_011552,2026-07-15 23:04:00-03:00,store_056,food,zone_5,-34.60410842244617,-58.355387302278615,-34.555706167223605,-58.42197269081499,8.132,2026-07-15 23:04:59.978972718-03:00,2026-07-15 23:07:15.237042774-03:00,2026-07-15 23:26:56.302055958-03:00,2026-07-15 23:33:13.893666108-03:00,2026-07-16 00:07:34.890920874-03:00
ord_004025,2026-07-15 23:17:00-03:00,store_041,grocery,zone_7,-34.56673218039421,-58.39551994179787,-34.57281003913431,-58.43409005975358,3.596,2026-07-15 23:20:21.537265080-03:00,2026-07-15 23:21:58.655447958-03:00,2026-07-15 23:36:55.147229850-03:00,2026-07-15 23:37:55.664099286-03:00,2026-07-15 23:53:24.986640660-03:00
ord_001471,2026-07-15 23:29:00-03:00,store_042,food,zone_6,-34.57997348979977,-58.46902223825181,-34.63330985051803,-58.37029899215042,10.808,2026-07-15 23:31:27.546898938-03:00,2026-07-15 23:35:58.504267368-03:00,2026-07-16 00:01:59.310621540-03:00,2026-07-16 00:04:23.243770290-03:00,2026-07-16 00:41:26.014217304-03:00
ord_003682,2026-07-16 00:21:00-03:00,store_040,pharmacy,zone_4,-34.60628480811277,-58.404067264041345,-34.57246937426331,-58.3971369662679,3.813,2026-07-16 00:21:30-03:00,2026-07-16 00:23:37.433334342-03:00,2026-07-16 00:41:21.222234576-03:00,2026-07-16 00:41:59.028127008-03:00,2026-07-16 01:00:16.979554368-03:00
ord_007004,2026-07-16 03:00:00-03:00,store_008,food,zone_0,-34.637188636732446,-58.45903466872563,-34.6498751863876,-58.44241807633323,2.074,2026-07-16 03:03:53.372086362-03:00,2026-07-16 03:05:13.005604248-03:00,2026-07-16 03:15:41.368019010-03:00,2026-07-16 03:29:02.317340970-03:00,2026-07-16 03:39:04.238975916-03:00
ord_010385,2026-07-16 03:58:00-03:00,store_007,food,zone_7,-34.5713935694723,-58.41995596006732,-34.592355383716146,-58.38649761669697,3.849,2026-07-16 04:02:44.082277608-03:00,2026-07-16 04:03:28.029840876-03:00,2026-07-16 04:15:18.484577316-03:00,2026-07-16 04:36:08.508637422-03:00,2026-07-16 04:54:36.746317848-03:00
ord_002891,2026-07-16 04:53:00-03:00,store_046,food,zone_3,-34.61125216209698,-58.43711804239673,-34.560625609422345,-58.46171040000359,6.063,2026-07-16 04:56:00.128240898-03:00,2026-07-16 04:59:02.344230186-03:00,2026-07-16 05:15:51.496104414-03:00,2026-07-16 05:20:53.700296532-03:00,2026-07-16 05:46:31.532919828-03:00
ord_010682,2026-07-16 05:08:00-03:00,store_059,pharmacy,zone_0,-34.638546992646404,-58.46924510001008,-34.6153010128636,-58.374000078834364,9.09,2026-07-16 05:10:41.789009004-03:00,2026-07-16 05:12:12.150336114-03:00,2026-07-16 05:35:50.852008908-03:00,2026-07-16 05:37:20.859028836-03:00,2026-07-16 06:13:02.001995034-03:00
ord_011527,2026-07-16 06:53:00-03:00,store_052,pharmacy,zone_7,-34.571307562249785,-58.40446205183895,-34.60243741522738,-58.37487439158755,4.395,2026-07-16 06:54:57.013266708-03:00,2026-07-16 06:56:59.411254326-03:00,2026-07-16 07:07:00.898250574-03:00,2026-07-16 07:08:47.261143704-03:00,2026-07-16 07:28:09.893744214-03:00
ord_004645,2026-07-16 07:32:00-03:00,store_031,food,zone_6,-34.553249026756575,-58.453692762576615,-34.55266776592595,-58.39814978630353,5.087,2026-07-16 07:36:24.885879840-03:00,2026-07-16 07:40:16.961445156-03:00,2026-07-16 07:58:45.513260694-03:00,2026-07-16 08:02:22.908536274-03:00,2026-07-16 08:24:27.149339310-03:00
ord_006394,2026-07-16 07:56:00-03:00,store_025,grocery,zone_2,-34.6305361292148,-58.38680427540933,-34.57259865654124,-58.399771550331984,6.551,2026-07-16 08:00:08.749521198-03:00,2026-07-16 08:03:00.927145500-03:00,2026-07-16 08:25:15.336291510-03:00,2026-07-16 08:25:51.313168260-03:00,2026-07-16 08:53:36.661900638-03:00
ord_001150,2026-07-16 08:25:00-03:00,store_013,grocery,zone_7,-34.56772383867291,-58.430467240607456,-34.582138517863186,-58.38042869865366,4.854,2026-07-16 08:28:37.563420594-03:00,2026-07-16 08:29:40.133411142-03:00,2026-07-16 08:46:33.985107780-03:00,2026-07-16 08:47:29.657767674-03:00,2026-07-16 09:09:43.091985714-03:00
ord_005231,2026-07-16 08:42:00-03:00,store_059,food,zone_0,-34.638546992646404,-58.46924510001008,-34.62668354305902,-58.44768447237038,2.373,2026-07-16 08:46:46.226002302-03:00,2026-07-16 08:48:37.112594112-03:00,2026-07-16 08:59:47.091909900-03:00,2026-07-16 09:10:39.529286472-03:00,2026-07-16 09:21:43.812221159-03:00
ord_011712,2026-07-16 09:43:00-03:00,store_030,food,zone_7,-34.575523784409214,-58.42074908232163,-34.55921398103714,-58.47313561349053,5.128,2026-07-16 09:47:17.293848426-03:00,2026-07-16 09:49:22.636480236-03:00,2026-07-16 10:09:44.471173026-03:00,2026-07-16 10:11:40.555760142-03:00,2026-07-16 10:31:59.249361864-03:00
ord_001372,2026-07-16 10:12:00-03:00,store_041,grocery,zone_7,-34.56673218039421,-58.39551994179787,-34.637305252423076,-58.39331110873405,7.85,2026-07-16 10:15:56.441441748-03:00,2026-07-16 10:18:36.552179916-03:00,2026-07-16 10:39:22.789286064-03:00,2026-07-16 10:40:55.726321704-03:00,2026-07-16 11:08:11.794376447-03:00
